line_id,line,noun_phrase
36471,"Free me so far in your most generous thoughts,",your most generous thoughts
36472,"That I have shot mine arrow o'er the house,",I
36472,"That I have shot mine arrow o'er the house,",mine arrow
36472,"That I have shot mine arrow o'er the house,",the house
36473,And hurt my brother.,my brother
36474,"I am satisfied in nature,",I
36474,"I am satisfied in nature,",nature
36475,"Whose motive, in this case, should stir me most",Whose motive
36475,"Whose motive, in this case, should stir me most",this case
36475,"Whose motive, in this case, should stir me most",me
36476,To my revenge: but in my terms of honour,my revenge
36476,To my revenge: but in my terms of honour,my terms
36476,To my revenge: but in my terms of honour,honour
36477,"I stand aloof, and will no reconcilement,",I
36478,"Till by some elder masters, of known honour,",some elder masters
36478,"Till by some elder masters, of known honour,",known honour
36479,"I have a voice and precedent of peace,",I
36479,"I have a voice and precedent of peace,",a voice
36479,"I have a voice and precedent of peace,",precedent
36479,"I have a voice and precedent of peace,",peace
36480,"To keep my name ungored. But till that time,",my name
36480,"To keep my name ungored. But till that time,",that time
36481,"I do receive your offer'd love like love,",I
36481,"I do receive your offer'd love like love,",your offer'd love
36481,"I do receive your offer'd love like love,",love
36482,And will not wrong it.,it
36483,"I embrace it freely,",I
36483,"I embrace it freely,",it
36484,And will this brother's wager frankly play.,this brother's wager
36485,Give us the foils. Come on.,us
36485,Give us the foils. Come on.,the foils
36486,"Come, one for me.",me
36487,"I'll be your foil, Laertes: in mine ignorance",I
36487,"I'll be your foil, Laertes: in mine ignorance",your foil
36487,"I'll be your foil, Laertes: in mine ignorance",Laertes
36487,"I'll be your foil, Laertes: in mine ignorance",mine ignorance
36488,"Your skill shall, like a star i' the darkest night,",Your skill
36488,"Your skill shall, like a star i' the darkest night,",a star
36488,"Your skill shall, like a star i' the darkest night,",i
36488,"Your skill shall, like a star i' the darkest night,",the darkest night
36489,Stick fiery off indeed.,Stick
36490,"You mock me, sir.",You
36490,"You mock me, sir.",me
36491,"No, by this hand.",this hand
36492,"Give them the foils, young Osric. Cousin Hamlet,",them
36492,"Give them the foils, young Osric. Cousin Hamlet,",the foils
36492,"Give them the foils, young Osric. Cousin Hamlet,",young Osric
36492,"Give them the foils, young Osric. Cousin Hamlet,",Cousin Hamlet
36493,You know the wager?,You
36493,You know the wager?,the wager
36495,Your grace hath laid the odds o' the weaker side.,Your grace hath
36495,Your grace hath laid the odds o' the weaker side.,the odds
36495,Your grace hath laid the odds o' the weaker side.,o
36495,Your grace hath laid the odds o' the weaker side.,the weaker side
36496,"I do not fear it, I have seen you both:",I
36496,"I do not fear it, I have seen you both:",it
36496,"I do not fear it, I have seen you both:",I
36496,"I do not fear it, I have seen you both:",you
36496,"I do not fear it, I have seen you both:",both
36497,"But since he is better'd, we have therefore odds.",he
36497,"But since he is better'd, we have therefore odds.",better'd
36497,"But since he is better'd, we have therefore odds.",we
36497,"But since he is better'd, we have therefore odds.",therefore odds
36498,"This is too heavy, let me see another.",This
36498,"This is too heavy, let me see another.",me
36498,"This is too heavy, let me see another.",another
36499,This likes me well. These foils have all a length?,This
36499,This likes me well. These foils have all a length?,me
36499,This likes me well. These foils have all a length?,These foils
36499,This likes me well. These foils have all a length?,all a length
36500,They prepare to play,They
36502,Set me the stoops of wine upon that table.,me
36502,Set me the stoops of wine upon that table.,the stoops
36502,Set me the stoops of wine upon that table.,wine
36502,Set me the stoops of wine upon that table.,that table
36503,"If Hamlet give the first or second hit,",Hamlet
36503,"If Hamlet give the first or second hit,",the first or second hit
36504,"Or quit in answer of the third exchange,",answer
36504,"Or quit in answer of the third exchange,",the third exchange
36505,Let all the battlements their ordnance fire:,all the battlements
36506,"The king shall drink to Hamlet's better breath,",The king
36506,"The king shall drink to Hamlet's better breath,",Hamlet's better breath
36507,"And in the cup an union shall he throw,",the cup
36507,"And in the cup an union shall he throw,",an union
36507,"And in the cup an union shall he throw,",he
36508,Richer than that which four successive kings,that
36509,"In Denmark's crown have worn. Give me the cups,",Denmark's crown
36509,"In Denmark's crown have worn. Give me the cups,",me
36509,"In Denmark's crown have worn. Give me the cups,",the cups
36510,"And let the kettle to the trumpet speak,",the kettle
36510,"And let the kettle to the trumpet speak,",the trumpet speak
36511,"The trumpet to the cannoneer without,",The trumpet
36511,"The trumpet to the cannoneer without,",the cannoneer
36512,"The cannons to the heavens, the heavens to earth,",The cannons
36512,"The cannons to the heavens, the heavens to earth,",the heavens
36512,"The cannons to the heavens, the heavens to earth,",the heavens
36512,"The cannons to the heavens, the heavens to earth,",earth
36513,"'Now the king dunks to Hamlet.' Come, begin:",the king
36513,"'Now the king dunks to Hamlet.' Come, begin:",Hamlet
36514,"And you, the judges, bear a wary eye.",you
36514,"And you, the judges, bear a wary eye.",the judges
36514,"And you, the judges, bear a wary eye.",a wary eye
36517,They play,They
36520,Judgment.,Judgment
36521,"A hit, a very palpable hit.",A hit
36521,"A hit, a very palpable hit.",a very palpable hit
36523,"Stay, give me drink. Hamlet, this pearl is thine,",me
36523,"Stay, give me drink. Hamlet, this pearl is thine,",drink
36523,"Stay, give me drink. Hamlet, this pearl is thine,",this pearl
36523,"Stay, give me drink. Hamlet, this pearl is thine,",thine
36524,Here's to thy health.,thy health
36525,"Trumpets sound, and cannon shot off within",Trumpets
36525,"Trumpets sound, and cannon shot off within",cannon
36526,Give him the cup.,him
36526,Give him the cup.,the cup
36527,"I'll play this bout first, set it by awhile. Come.",I
36527,"I'll play this bout first, set it by awhile. Come.",this bout
36527,"I'll play this bout first, set it by awhile. Come.",it
36528,They play,They
36529,"Another hit, what say you?",what
36529,"Another hit, what say you?",you
36530,"A touch, a touch, I do confess.",A touch
36530,"A touch, a touch, I do confess.",a touch
36530,"A touch, a touch, I do confess.",I
36531,Our son shall win.,Our son
36532,"He's fat, and scant of breath.",He
36532,"He's fat, and scant of breath.",breath
36533,"Here, Hamlet, take my napkin, rub thy brows,",Hamlet
36533,"Here, Hamlet, take my napkin, rub thy brows,",my napkin
36533,"Here, Hamlet, take my napkin, rub thy brows,",thy brows
36534,"The queen carouses to thy fortune, Hamlet.",The queen
36534,"The queen carouses to thy fortune, Hamlet.",thy fortune
36534,"The queen carouses to thy fortune, Hamlet.",Hamlet
36535,Good madam!,Good madam
36537,"I will, my lord, I pray you, pardon me.",I
36537,"I will, my lord, I pray you, pardon me.",I
36537,"I will, my lord, I pray you, pardon me.",you
36537,"I will, my lord, I pray you, pardon me.",me
36538,[Aside]  It is the poison'd cup: it is too late.,It
36538,[Aside]  It is the poison'd cup: it is too late.,the poison'd cup
36538,[Aside]  It is the poison'd cup: it is too late.,it
36539,"I dare not drink yet, madam, by and by.",I
36540,"Come, let me wipe thy face.",me
36540,"Come, let me wipe thy face.",thy face
36541,"My lord, I'll hit him now.",I
36541,"My lord, I'll hit him now.",him
36542,I do not think't.,I
36543,[Aside]  And yet 'tis almost 'gainst my conscience.,my conscience
36544,"Come, for the third, Laertes: you but dally,",you
36545,"I pray you, pass with your best violence,",I
36545,"I pray you, pass with your best violence,",you
36545,"I pray you, pass with your best violence,",your best violence
36546,I am afeard you make a wanton of me.,I
36546,I am afeard you make a wanton of me.,you
36546,I am afeard you make a wanton of me.,a wanton
36546,I am afeard you make a wanton of me.,me
36547,Say you so? come on.,you
36548,They play,They
36549,"Nothing, neither way.",Nothing
36550,Have at you now!,you
36551,"LAERTES wounds HAMLET, then in scuffling, they change rapiers, and HAMLET wounds LAERTES",LAERTES wounds
36551,"LAERTES wounds HAMLET, then in scuffling, they change rapiers, and HAMLET wounds LAERTES",HAMLET
36551,"LAERTES wounds HAMLET, then in scuffling, they change rapiers, and HAMLET wounds LAERTES",they
36551,"LAERTES wounds HAMLET, then in scuffling, they change rapiers, and HAMLET wounds LAERTES",rapiers
36551,"LAERTES wounds HAMLET, then in scuffling, they change rapiers, and HAMLET wounds LAERTES",HAMLET wounds LAERTES
36552,"Part them, they are incensed.",them
36552,"Part them, they are incensed.",they
36554,QUEEN GERTRUDE falls,QUEEN GERTRUDE
36555,"Look to the queen there, ho!",the queen
36556,"They bleed on both sides. How is it, my lord?",They
36556,"They bleed on both sides. How is it, my lord?",both sides
36556,"They bleed on both sides. How is it, my lord?",it
36556,"They bleed on both sides. How is it, my lord?",my lord
36557,"How is't, Laertes?",is't
36557,"How is't, Laertes?",Laertes
36558,"Why, as a woodcock to mine own springe, Osric,",a woodcock
36558,"Why, as a woodcock to mine own springe, Osric,",mine own springe
36558,"Why, as a woodcock to mine own springe, Osric,",Osric
36559,I am justly kill'd with mine own treachery.,I
36559,I am justly kill'd with mine own treachery.,mine own treachery
36560,How does the queen?,How does the queen
36561,She swounds to see them bleed.,She
36561,She swounds to see them bleed.,them
36562,"No, no, the drink, the drink,--O my dear Hamlet,--","No, no, the drink"
36562,"No, no, the drink, the drink,--O my dear Hamlet,--","the drink,--O"
36562,"No, no, the drink, the drink,--O my dear Hamlet,--","my dear Hamlet,--"
36563,"The drink, the drink! I am poison'd.",The drink
36563,"The drink, the drink! I am poison'd.",the drink
36563,"The drink, the drink! I am poison'd.",I
36563,"The drink, the drink! I am poison'd.",poison'd
36564,Dies,Dies
36565,O villany! Ho! let the door be lock'd:,O villany
36565,O villany! Ho! let the door be lock'd:,Ho
36565,O villany! Ho! let the door be lock'd:,!
36565,O villany! Ho! let the door be lock'd:,the door
36565,O villany! Ho! let the door be lock'd:,lock'd
36566,Treachery! Seek it out.,Treachery
36566,Treachery! Seek it out.,it
36567,"It is here, Hamlet: Hamlet, thou art slain,",It
36567,"It is here, Hamlet: Hamlet, thou art slain,",Hamlet
36567,"It is here, Hamlet: Hamlet, thou art slain,",thou art slain
36568,"No medicine in the world can do thee good,",No medicine
36568,"No medicine in the world can do thee good,",the world
36568,"No medicine in the world can do thee good,",thee
36569,"In thee there is not half an hour of life,",thee
36569,"In thee there is not half an hour of life,",half an hour
36569,"In thee there is not half an hour of life,",life
36570,"The treacherous instrument is in thy hand,",The treacherous instrument
36570,"The treacherous instrument is in thy hand,",thy hand
36571,Unbated and envenom'd: the foul practise,Unbated and envenom'd: the foul practise
36572,"Hath turn'd itself on me lo, here I lie,",Hath turn'd
36572,"Hath turn'd itself on me lo, here I lie,",itself
36572,"Hath turn'd itself on me lo, here I lie,",me
36572,"Hath turn'd itself on me lo, here I lie,",I
36573,Never to rise again: thy mother's poison'd:,thy mother's poison'd
36574,"I can no more: the king, the king's to blame.",I
36574,"I can no more: the king, the king's to blame.",the king
36575,The point!--envenom'd too!,The point!--envenom'd
36576,"Then, venom, to thy work.","Then, venom"
36576,"Then, venom, to thy work.",thy work
36577,Stabs KING CLAUDIUS,Stabs KING
36578,Treason! treason!,Treason! treason
36579,"O, yet defend me, friends, I am but hurt.",me
36579,"O, yet defend me, friends, I am but hurt.",friends
36579,"O, yet defend me, friends, I am but hurt.",I
36580,"Here, thou incestuous, murderous, damned Dane,","Here, thou incestuous, murderous, damned Dane"
36581,Drink off this potion. Is thy union here?,this potion
36581,Drink off this potion. Is thy union here?,thy union
36582,Follow my mother.,my mother
36583,KING CLAUDIUS dies,KING CLAUDIUS
36584,"He is justly served,",He
36585,It is a poison temper'd by himself.,It
36585,It is a poison temper'd by himself.,a poison
36585,It is a poison temper'd by himself.,temper'd
36585,It is a poison temper'd by himself.,himself
36586,"Exchange forgiveness with me, noble Hamlet:",me
36587,"Mine and my father's death come not upon thee,",Mine
36587,"Mine and my father's death come not upon thee,",my father's death
36587,"Mine and my father's death come not upon thee,",thee
36588,Nor thine on me.,me
36589,Dies,Dies
36590,Heaven make thee free of it! I follow thee.,Heaven
36590,Heaven make thee free of it! I follow thee.,thee
36590,Heaven make thee free of it! I follow thee.,it
36590,Heaven make thee free of it! I follow thee.,I
36590,Heaven make thee free of it! I follow thee.,thee
36591,"I am dead, Horatio. Wretched queen, adieu!",I
36591,"I am dead, Horatio. Wretched queen, adieu!",Wretched queen
36592,"You that look pale and tremble at this chance,",You
36592,"You that look pale and tremble at this chance,",that
36592,"You that look pale and tremble at this chance,",this chance
36593,"That are but mutes or audience to this act,",That
36593,"That are but mutes or audience to this act,",mutes
36593,"That are but mutes or audience to this act,",audience
36593,"That are but mutes or audience to this act,",this act
36594,"Had I but time--as this fell sergeant, death,",I
36594,"Had I but time--as this fell sergeant, death,",time
36594,"Had I but time--as this fell sergeant, death,",this fell sergeant
36594,"Had I but time--as this fell sergeant, death,",death
36595,"Is strict in his arrest--O, I could tell you--",his arrest
36595,"Is strict in his arrest--O, I could tell you--",I
36596,"But let it be. Horatio, I am dead,",it
36596,"But let it be. Horatio, I am dead,",I
36597,"Thou livest, report me and my cause aright",me
36597,"Thou livest, report me and my cause aright",my cause
36599,Never believe it:,it
36600,I am more an antique Roman than a Dane:,I
36600,I am more an antique Roman than a Dane:,a Dane
36601,Here's yet some liquor left.,some liquor
36602,"As thou'rt a man,",thou'rt
36603,"Give me the cup: let go, by heaven, I'll have't.",me
36603,"Give me the cup: let go, by heaven, I'll have't.",the cup
36603,"Give me the cup: let go, by heaven, I'll have't.",heaven
36603,"Give me the cup: let go, by heaven, I'll have't.",I
36603,"Give me the cup: let go, by heaven, I'll have't.",have't
36604,"O good Horatio, what a wounded name,",O good Horatio
36604,"O good Horatio, what a wounded name,",what a wounded name
36605,"Things standing thus unknown, shall live behind me!",Things
36605,"Things standing thus unknown, shall live behind me!",me
36606,If thou didst ever hold me in thy heart,thou
36606,If thou didst ever hold me in thy heart,me
36606,If thou didst ever hold me in thy heart,thy heart
36607,"Absent thee from felicity awhile,",Absent thee
36608,"And in this harsh world draw thy breath in pain,",this harsh world
36608,"And in this harsh world draw thy breath in pain,",thy breath
36608,"And in this harsh world draw thy breath in pain,",pain
36609,To tell my story.,my story
36611,What warlike noise is this?,What warlike noise
36611,What warlike noise is this?,this
36612,"Young Fortinbras, with conquest come from Poland,",Young Fortinbras
36612,"Young Fortinbras, with conquest come from Poland,",conquest come
36612,"Young Fortinbras, with conquest come from Poland,",Poland
36613,To the ambassadors of England gives,the ambassadors
36613,To the ambassadors of England gives,England
36614,This warlike volley.,This warlike volley
36615,"O, I die, Horatio,",I
36616,The potent poison quite o'er-crows my spirit:,The potent poison
36616,The potent poison quite o'er-crows my spirit:,my spirit
36617,"I cannot live to hear the news from England,",I
36617,"I cannot live to hear the news from England,",the news
36617,"I cannot live to hear the news from England,",England
36618,But I do prophesy the election lights,I
36618,But I do prophesy the election lights,the election lights
36619,"On Fortinbras: he has my dying voice,",Fortinbras
36619,"On Fortinbras: he has my dying voice,",he
36619,"On Fortinbras: he has my dying voice,",my dying voice
36620,"So tell him, with the occurrents, more and less,",him
36620,"So tell him, with the occurrents, more and less,",the occurrents
36621,Which have solicited. The rest is silence.,Which
36621,Which have solicited. The rest is silence.,The rest
36621,Which have solicited. The rest is silence.,silence
36622,Dies,Dies
36623,Now cracks a noble heart. Good night sweet prince:,a noble heart
36623,Now cracks a noble heart. Good night sweet prince:,Good night sweet prince
36624,And flights of angels sing thee to thy rest!,flights
36624,And flights of angels sing thee to thy rest!,angels
36624,And flights of angels sing thee to thy rest!,thee
36624,And flights of angels sing thee to thy rest!,thy rest
36625,Why does the drum come hither?,the drum
36626,March within,March
36627,"Enter FORTINBRAS, the English Ambassadors, and others",FORTINBRAS
36627,"Enter FORTINBRAS, the English Ambassadors, and others",the English Ambassadors
36627,"Enter FORTINBRAS, the English Ambassadors, and others",others
36628,Where is this sight?,this sight
36629,What is it ye would see?,What
36629,What is it ye would see?,it
36629,What is it ye would see?,ye
36630,"If aught of woe or wonder, cease your search.",aught
36630,"If aught of woe or wonder, cease your search.",woe
36630,"If aught of woe or wonder, cease your search.",wonder
36630,"If aught of woe or wonder, cease your search.",your search
36631,"This quarry cries on havoc. O proud death,",This quarry
36631,"This quarry cries on havoc. O proud death,",havoc
36631,"This quarry cries on havoc. O proud death,",O proud death
36632,"What feast is toward in thine eternal cell,",What feast
36632,"What feast is toward in thine eternal cell,",thine eternal cell
36633,That thou so many princes at a shot,That thou
36633,That thou so many princes at a shot,so many princes
36633,That thou so many princes at a shot,a shot
36634,So bloodily hast struck?,hast
36635,"The sight is dismal,",The sight
36636,And our affairs from England come too late:,our affairs
36636,And our affairs from England come too late:,England
36637,"The ears are senseless that should give us hearing,",The ears
36637,"The ears are senseless that should give us hearing,",that
36637,"The ears are senseless that should give us hearing,",us
36637,"The ears are senseless that should give us hearing,",hearing
36638,"To tell him his commandment is fulfill'd,",him
36638,"To tell him his commandment is fulfill'd,",his commandment
36638,"To tell him his commandment is fulfill'd,",fulfill'd
36639,That Rosencrantz and Guildenstern are dead:,Rosencrantz
36639,That Rosencrantz and Guildenstern are dead:,Guildenstern
36640,Where should we have our thanks?,we
36640,Where should we have our thanks?,our thanks
36641,"Not from his mouth,",his mouth
36642,Had it the ability of life to thank you:,it
36642,Had it the ability of life to thank you:,the ability
36642,Had it the ability of life to thank you:,life
36642,Had it the ability of life to thank you:,you
36643,He never gave commandment for their death.,He
36643,He never gave commandment for their death.,commandment
36643,He never gave commandment for their death.,their death
36644,"But since, so jump upon this bloody question,",this bloody question
36645,"You from the Polack wars, and you from England,",You
36645,"You from the Polack wars, and you from England,",the Polack wars
36645,"You from the Polack wars, and you from England,",you
36645,"You from the Polack wars, and you from England,",England
36646,Are here arrived give order that these bodies,order
36646,Are here arrived give order that these bodies,these bodies
36647,"High on a stage be placed to the view,",a stage
36647,"High on a stage be placed to the view,",the view
36648,And let me speak to the yet unknowing world,me
36648,And let me speak to the yet unknowing world,the yet unknowing world
36649,How these things came about: so shall you hear,these things
36649,How these things came about: so shall you hear,you
36650,"Of carnal, bloody, and unnatural acts,","carnal, bloody, and unnatural acts"
36651,"Of accidental judgments, casual slaughters,",accidental judgments
36651,"Of accidental judgments, casual slaughters,",casual slaughters
36652,"Of deaths put on by cunning and forced cause,",deaths
36652,"Of deaths put on by cunning and forced cause,",cunning and forced cause
36653,"And, in this upshot, purposes mistook",this upshot
36653,"And, in this upshot, purposes mistook",purposes
36654,Fall'n on the inventors' reads: all this can I,all this
36654,Fall'n on the inventors' reads: all this can I,I
36656,"Let us haste to hear it,",us
36656,"Let us haste to hear it,",it
36657,And call the noblest to the audience.,the noblest
36657,And call the noblest to the audience.,the audience
36658,"For me, with sorrow I embrace my fortune:",me
36658,"For me, with sorrow I embrace my fortune:",sorrow
36658,"For me, with sorrow I embrace my fortune:",I
36658,"For me, with sorrow I embrace my fortune:",my fortune
36659,"I have some rights of memory in this kingdom,",I
36659,"I have some rights of memory in this kingdom,",some rights
36659,"I have some rights of memory in this kingdom,",memory
36659,"I have some rights of memory in this kingdom,",this kingdom
36660,Which now to claim my vantage doth invite me.,Which
36660,Which now to claim my vantage doth invite me.,my vantage doth
36660,Which now to claim my vantage doth invite me.,me
36661,"Of that I shall have also cause to speak,",that
36661,"Of that I shall have also cause to speak,",I
36662,"And from his mouth whose voice will draw on more,",his mouth
36662,"And from his mouth whose voice will draw on more,",whose voice
36664,"Even while men's minds are wild, lest more mischance",men's minds
36664,"Even while men's minds are wild, lest more mischance",more mischance
36665,"On plots and errors, happen.",plots
36665,"On plots and errors, happen.",errors
36666,Let four captains,four captains
36667,"Bear Hamlet, like a soldier, to the stage,",Bear Hamlet
36667,"Bear Hamlet, like a soldier, to the stage,",a soldier
36667,"Bear Hamlet, like a soldier, to the stage,",the stage
36668,"For he was likely, had he been put on,",he
36668,"For he was likely, had he been put on,",he
36669,"To have proved most royally: and, for his passage,",his passage
36670,The soldiers' music and the rites of war,The soldiers' music
36670,The soldiers' music and the rites of war,the rites
36670,The soldiers' music and the rites of war,war
36671,Speak loudly for him.,him
36672,Take up the bodies: such a sight as this,the bodies
36672,Take up the bodies: such a sight as this,such a sight
36672,Take up the bodies: such a sight as this,this
36673,"Becomes the field, but here shows much amiss.",the field
36674,"Go, bid the soldiers shoot.",the soldiers
36675,"A dead march. Exeunt, bearing off the dead bodies, after which a peal of ordnance is shot off",A dead march
36675,"A dead march. Exeunt, bearing off the dead bodies, after which a peal of ordnance is shot off",Exeunt
36675,"A dead march. Exeunt, bearing off the dead bodies, after which a peal of ordnance is shot off",the dead bodies
36675,"A dead march. Exeunt, bearing off the dead bodies, after which a peal of ordnance is shot off",which
36675,"A dead march. Exeunt, bearing off the dead bodies, after which a peal of ordnance is shot off",a peal
36675,"A dead march. Exeunt, bearing off the dead bodies, after which a peal of ordnance is shot off",ordnance
36676,ACT I,ACT I
36677,PROLOGUE,PROLOGUE
36678,Enter Chorus,Chorus
36679,"O for a Muse of fire, that would ascend",a Muse
36679,"O for a Muse of fire, that would ascend",fire
36679,"O for a Muse of fire, that would ascend",that
36680,"The brightest heaven of invention,",The brightest heaven
36680,"The brightest heaven of invention,",invention
36681,"A kingdom for a stage, princes to act",A kingdom
36681,"A kingdom for a stage, princes to act",a stage
36681,"A kingdom for a stage, princes to act",princes
36682,And monarchs to behold the swelling scene!,the swelling scene
36683,"Then should the warlike Harry, like himself,",the warlike Harry
36683,"Then should the warlike Harry, like himself,",himself
36684,"Assume the port of Mars, and at his heels,",the port
36684,"Assume the port of Mars, and at his heels,",Mars
36684,"Assume the port of Mars, and at his heels,",his heels
36685,"Leash'd in like hounds, should famine, sword and fire",hounds
36685,"Leash'd in like hounds, should famine, sword and fire",sword
36685,"Leash'd in like hounds, should famine, sword and fire",fire
36686,"Crouch for employment. But pardon, and gentles all,",Crouch
36686,"Crouch for employment. But pardon, and gentles all,",employment
36686,"Crouch for employment. But pardon, and gentles all,",gentles
36686,"Crouch for employment. But pardon, and gentles all,",all
36687,The flat unraised spirits that have dared,The flat unraised spirits
36687,The flat unraised spirits that have dared,that
36688,On this unworthy scaffold to bring forth,this unworthy scaffold
36689,So great an object: can this cockpit hold,So great an object
36689,So great an object: can this cockpit hold,this cockpit
36690,The vasty fields of France? or may we cram,The vasty fields
36690,The vasty fields of France? or may we cram,France
36690,The vasty fields of France? or may we cram,we
36691,Within this wooden O the very casques,Within this wooden O the very casques
36692,That did affright the air at Agincourt?,That
36692,That did affright the air at Agincourt?,the air
36692,That did affright the air at Agincourt?,Agincourt
36693,"O, pardon! since a crooked figure may",a crooked figure
36694,"Attest in little place a million,",Attest
36694,"Attest in little place a million,",little place
36695,"And let us, ciphers to this great accompt,",us
36696,On your imaginary forces work.,your imaginary forces
36697,Suppose within the girdle of these walls,the girdle
36697,Suppose within the girdle of these walls,these walls
36698,"Are now confined two mighty monarchies,",two mighty monarchies
36699,Whose high upreared and abutting fronts,Whose high upreared and abutting fronts
36700,The perilous narrow ocean parts asunder:,The perilous narrow ocean parts
36701,"Piece out our imperfections with your thoughts,",our imperfections
36701,"Piece out our imperfections with your thoughts,",your thoughts
36702,"Into a thousand parts divide on man,",a thousand parts
36702,"Into a thousand parts divide on man,",man
36703,"And make imaginary puissance,",imaginary puissance
36704,"Think when we talk of horses, that you see them",we
36704,"Think when we talk of horses, that you see them",horses
36704,"Think when we talk of horses, that you see them",you
36704,"Think when we talk of horses, that you see them",them
36705,"Printing their proud hoofs i' the receiving earth,",their proud hoofs
36705,"Printing their proud hoofs i' the receiving earth,",i
36705,"Printing their proud hoofs i' the receiving earth,",the receiving earth
36706,"For 'tis your thoughts that now must deck our kings,",your thoughts
36706,"For 'tis your thoughts that now must deck our kings,",that
36706,"For 'tis your thoughts that now must deck our kings,",our kings
36707,"Carry them here and there, jumping o'er times,",them
36708,Turning the accomplishment of many years,the accomplishment
36708,Turning the accomplishment of many years,many years
36709,"Into an hour-glass: for the which supply,",an hour-glass
36709,"Into an hour-glass: for the which supply,",the which supply
36710,"Admit me Chorus to this history,",me
36710,"Admit me Chorus to this history,",Chorus
36710,"Admit me Chorus to this history,",this history
36711,"Who prologue-like your humble patience pray,",Who prologue
36711,"Who prologue-like your humble patience pray,",your humble patience
36712,"Gently to hear, kindly to judge, our play.",judge
36712,"Gently to hear, kindly to judge, our play.",our play
36713,Exit,Exit
36714,SCENE I. London. An ante-chamber in the KING'S palace.,SCENE I. London
36714,SCENE I. London. An ante-chamber in the KING'S palace.,An ante-chamber
36714,SCENE I. London. An ante-chamber in the KING'S palace.,the KING'S palace
36715,"Enter the ARCHBISHOP OF CANTERBURY, and the BISHOP OF ELY",the ARCHBISHOP
36715,"Enter the ARCHBISHOP OF CANTERBURY, and the BISHOP OF ELY",CANTERBURY
36715,"Enter the ARCHBISHOP OF CANTERBURY, and the BISHOP OF ELY",the BISHOP
36715,"Enter the ARCHBISHOP OF CANTERBURY, and the BISHOP OF ELY",ELY
36716,"My lord, I'll tell you, that self bill is urged,",I
36716,"My lord, I'll tell you, that self bill is urged,",you
36716,"My lord, I'll tell you, that self bill is urged,",that self bill
36717,Which in the eleventh year of the last king's reign,Which
36717,Which in the eleventh year of the last king's reign,the eleventh year
36717,Which in the eleventh year of the last king's reign,the last king's reign
36718,"Was like, and had indeed against us pass'd,",us
36718,"Was like, and had indeed against us pass'd,",pass'd
36719,But that the scambling and unquiet time,But that the scambling and unquiet time
36720,Did push it out of farther question.,it
36720,Did push it out of farther question.,farther question
36721,"But how, my lord, shall we resist it now?",we
36721,"But how, my lord, shall we resist it now?",it
36722,"It must be thought on. If it pass against us,",It
36722,"It must be thought on. If it pass against us,",it
36722,"It must be thought on. If it pass against us,",us
36723,We lose the better half of our possession:,We
36723,We lose the better half of our possession:,the better half
36723,We lose the better half of our possession:,our possession
36724,For all the temporal lands which men devout,all the temporal lands
36724,For all the temporal lands which men devout,which
36725,By testament have given to the church,testament
36725,By testament have given to the church,the church
36726,"Would they strip from us, being valued thus:",they
36726,"Would they strip from us, being valued thus:",us
36727,"As much as would maintain, to the king's honour,",the king's honour
36728,"Full fifteen earls and fifteen hundred knights,",Full fifteen earls
36728,"Full fifteen earls and fifteen hundred knights,",fifteen hundred knights
36729,"Six thousand and two hundred good esquires,",Six thousand and two hundred good esquires
36730,"And, to relief of lazars and weak age,",relief
36730,"And, to relief of lazars and weak age,",lazars
36730,"And, to relief of lazars and weak age,",weak age
36731,Of indigent faint souls past corporal toil.,indigent faint souls
36731,Of indigent faint souls past corporal toil.,corporal toil
36732,"A hundred almshouses right well supplied,",A hundred almshouses
36733,"And to the coffers of the king beside,",the coffers
36733,"And to the coffers of the king beside,",the king
36734,A thousand pounds by the year: thus runs the bill.,A thousand pounds
36734,A thousand pounds by the year: thus runs the bill.,the year
36734,A thousand pounds by the year: thus runs the bill.,the bill
36735,This would drink deep.,This
36736,'Twould drink the cup and all.,the cup
36736,'Twould drink the cup and all.,all
36737,But what prevention?,But what prevention
36738,The king is full of grace and fair regard.,The king
36738,The king is full of grace and fair regard.,grace and fair regard
36739,And a true lover of the holy church.,And a true lover
36739,And a true lover of the holy church.,the holy church
36740,The courses of his youth promised it not.,The courses
36740,The courses of his youth promised it not.,his youth
36740,The courses of his youth promised it not.,it
36741,"The breath no sooner left his father's body,",The breath
36741,"The breath no sooner left his father's body,",his father's body
36742,"But that his wildness, mortified in him,",his wildness
36742,"But that his wildness, mortified in him,",him
36743,"Seem'd to die too, yea, at that very moment",that very moment
36744,"Consideration, like an angel, came",Consideration
36744,"Consideration, like an angel, came",an angel
36745,"And whipp'd the offending Adam out of him,",And whipp'd
36745,"And whipp'd the offending Adam out of him,",the offending Adam
36745,"And whipp'd the offending Adam out of him,",him
36746,"Leaving his body as a paradise,",his body
36746,"Leaving his body as a paradise,",a paradise
36747,To envelop and contain celestial spirits.,celestial spirits
36748,"Never was such a sudden scholar made,",such a sudden scholar
36749,"Never came reformation in a flood,",reformation
36749,"Never came reformation in a flood,",a flood
36750,"With such a heady currance, scouring faults",such a heady currance
36750,"With such a heady currance, scouring faults",faults
36751,Nor never Hydra-headed wilfulness,Nor never Hydra-headed wilfulness
36752,So soon did lose his seat and all at once,his seat
36753,As in this king.,this king
36754,We are blessed in the change.,We
36754,We are blessed in the change.,the change
36755,"Hear him but reason in divinity,",him
