line_id,sentence,word,chosen_synset,definition
35798,"Your sudden coming o'er, to play with him.",play,bid.n.02,an attempt to get something
35996,but to play at loggats with 'em? mine ache to think on't.,play,fun.n.02,verbal wit or mockery (often at another's expense but not to be taken seriously)
36113,"modesty enough, and likelihood to lead it: as",lead,run.v.23,cause something to pass or lead somewhere
36261,"They had begun the play--I sat me down,",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
36425,"play with Laertes, or that you will take longer time.",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
36432,entertainment to Laertes before you fall to play.,play,bid.n.02,an attempt to get something
36484,And will this brother's wager frankly play.,play,maneuver.n.03,a deliberate coordinated movement requiring dexterity and skill
36500,They prepare to play,play,bid.n.02,an attempt to get something
36517,They play,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
36525,"Trumpets sound, and cannon shot off within",sound,sound.v.03,give off a certain sound or sounds
36527,"I'll play this bout first, set it by awhile. Come.",play,play.n.01,a dramatic work intended for performance by actors on a stage
36528,They play,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
36548,They play,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
36712,"Gently to hear, kindly to judge, our play.",play,bid.n.02,an attempt to get something
37090,"We will, in France, by God's grace, play a set",play,play.v.15,"put (a card or piece) into play during a game, or act strategically as if in a card game"
37175,"The abuse of distance, force a play:",play,gambling.n.01,the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
37183,We'll not offend one stomach with our play.,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
37327,"Trumpets sound. Enter KING HENRY V, SCROOP, CAMBRIDGE, GREY, and Attendants",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
37406,"Hath, for a few light crowns, lightly conspired,",light,lighter.n.02,a device for lighting or igniting fuel or charges or fires
37503,Since God so graciously hath brought to light,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
37527,I saw him fumble with the sheets and play with,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
37743,"Play with your fancies, and in them behold",play,play.v.02,act or have an effect in a specified way or with a specific effect or outcome
37903,"over, the trompet sound the retreat. By my hand, I",sound,sound.n.01,the particular auditory effect produced by a given cause
38174,"Bardolph, a soldier, firm and sound of heart,",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
38265,"for when lenity and cruelty play for a kingdom, the",play,gambling.n.01,the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
38496,"Do the low-rated English play at dice,",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
38890,And all is done. Then let the trumpets sound,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
39132,vessel makes the greatest sound.' Bardolph and Nym,sound,sound.n.01,the particular auditory effect produced by a given cause
39134,"the old play, that every one may pare his nails with",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
39425,"--a most contagious treason come to light, look",light,alight.v.01,"to come to rest, settle"
39466,"By this day and this light, the fellow has mettle",light,inner_light.n.01,a divine presence believed by Quakers to enlighten and guide the soul
39514,"But in plain shock and even play of battle,",play,play.n.03,a preset plan of action in team sports
39665,Doth Fortune play the huswife with me now?,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
40083,"The play may pass, if they be still and willing,",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
40086,"That come to hear a merry bawdy play,",play,gambling.n.01,the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
40686,"A long time out of play, may bring his plainsong",play,play.n.02,a theatrical performance of a drama
40781,"Yes, if I make my play.",play,play.v.15,"put (a card or piece) into play during a game, or act strategically as if in a card game"
40864,"Lead in your ladies, every one: sweet partner,",lead,lead.n.01,an advantage held by a competitor in a race
40868,"To lead 'em once again, and then let's dream",lead,run.v.23,cause something to pass or lead somewhere
40968,"And lift my soul to heaven. Lead on, o' God's name.",lead,run.v.23,cause something to pass or lead somewhere
40984,"And when old time shall lead him to his end,",lead,lead.n.02,a soft heavy toxic malleable metallic element; bluish white when freshly cut but tarnishes readily to dull grey
41666,"Every thing that heard him play,",play,play.n.08,activity by children that is guided more by imagination than by fixed rules
41901,His practises to light?,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
42379,"Out of thy honest truth, to play the woman.",play,gambling.n.01,the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
42400,"And,--prithee, lead me in:",lead,lead.n.01,an advantage held by a competitor in a race
42456,"The trumpets sound: stand close, the queen is coming.",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
42633,"Tied all the kingdom: simony was fair-play,",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
42678,Cause the musicians play me that sad note,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
42865,"Charles, I will play no more tonight,",play,play.n.08,activity by children that is guided more by imagination than by fixed rules
42869,"Nor shall not, when my fancy's on my play.",play,play.v.03,play on an instrument
43013,"An hundred marks! By this light, I'll ha' more.",light,light.a.06,characterized by or emitting light
43041,"Pray heaven, he sound not my disgrace! For certain,",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
43161,Of this new sect? ye are not sound.,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
43162,Not sound?,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
43163,"Not sound, I say.",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
43223,"To me you cannot reach, you play the spaniel,",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
43307,As much as one sound cudgel of four foot--,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
43377,"Ye should do service. Hark! the trumpets sound,",sound,sound.n.01,the particular auditory effect produced by a given cause
43381,A Marshalsea shall hold ye play these two months.,play,act.v.03,play a role or part
43469,"And ye shall find me thankful. Lead the way, lords:",lead,lead.n.05,the angle between the direction a gun is aimed and the position of a moving target (correcting for the flight time of the missile)
43476,'Tis ten to one this play can never please,play,bid.n.02,an attempt to get something
43484,"For this play at this time, is only in",play,play.n.05,a state in which action is feasible
43614,"And if she did play false, the fault was hers,",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
43759,"Now, by this light, were I to get again,",light,inner_light.n.01,a divine presence believed by Quakers to enlighten and guide the soul
43920,"One that will play the devil, sir, with you,",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
44102,"And victory, with little loss, doth play",play,maneuver.n.03,a deliberate coordinated movement requiring dexterity and skill
44182,"I'ld play incessantly upon these jades,",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
44617,Or the light loss of England for a friend:,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
44643,The latest breath that gave the sound of words,sound,sound.n.02,the subjective sensation of hearing something
44655,"Play fast and loose with faith? so jest with heaven,",play,maneuver.n.03,a deliberate coordinated movement requiring dexterity and skill
44708,The peril of our curses light on thee,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
44827,"Sound on into the drowsy race of night,",sound,sound.n.02,the subjective sensation of hearing something
44839,"Without eyes, ears and harmful sound of words,",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
44898,Thou odouriferous stench! sound rottenness!,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
45005,Out of the path which shall directly lead,lead,lead.n.04,a position of leadership (especially in the phrase `take the lead')
45232,"Unto the rainbow, or with taper-light",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
45244,"Makes sound opinion sick and truth suspected,",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
45266,"To sound the purpose of all their hearts,",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
45313,"It is apparent foul play, and 'tis shame",play,maneuver.n.03,a deliberate coordinated movement requiring dexterity and skill
45573,We had a kind of light what would ensue:,light,light.n.02,any device serving as a source of illumination
45757,"Send fair-play orders and make compromise,",play,maneuver.n.03,a deliberate coordinated movement requiring dexterity and skill
45894,"According to the fair play of the world,",play,gambling.n.01,the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
45949,"Sound but another, and another shall",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
45990,Lead me to the revolts of England here.,lead,spark_advance.n.01,the timing of ignition relative to the position of the piston in an internal-combustion engine
46286,Why dost thou lead these men about the streets?,lead,lead.n.04,a position of leadership (especially in the phrase `take the lead')
46312,That needs must light on this ingratitude.,light,light.n.01,(physics) electromagnetic radiation that can produce a visual sensation
46406,"Into what dangers would you lead me, Cassius,",lead,run.v.23,cause something to pass or lead somewhere
46491,"Sound them, it doth become the mouth as well,",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
46906,Give so much light that I may read by them.,light,light.a.06,characterized by or emitting light
47015,But what of Cicero? shall we sound him?,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
47114,Therefore thou sleep'st so sound.,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
47508,To sound more sweetly in great Caesar's ear,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
47589,"Brutus shall lead, and we will grace his heels",lead,lead.n.05,the angle between the direction a gun is aimed and the position of a moving target (correcting for the flight time of the missile)
47744,"A curse shall light upon the limbs of men,",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
48228,Bid our commanders lead their charges off,lead,run.v.23,cause something to pass or lead somewhere
48621,"Octavius, lead your battle softly on,",lead,run.v.23,cause something to pass or lead somewhere
48711,"Lovers in peace, lead on our days to age!",lead,spark_advance.n.01,the timing of ignition relative to the position of the piston in an internal-combustion engine
48740,"Why, then, lead on. O, that a man might know",lead,jumper_cable.n.01,a jumper that consists of a short piece of wire
48791,"Now, Titinius! Now some light. O, he lights too.",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
48931,"Statilius show'd the torch-light, but, my lord,",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
49192,Nor are those empty-hearted whose low sound,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
49791,"That such a king should play bo-peep,",play,act.v.03,play a role or part
50080,"Yield: come before my father. Light, ho, here!",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
50529,For the sound man. Death on my state! wherefore,sound,sound.n.01,the particular auditory effect produced by a given cause
51040,Hang fated o'er men's faults light on thy daughters!,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
51063,"out-paramoured the Turk: false of heart, light of",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
51313,"How light and portable my pain seems now,",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
51361,"You are my guests: do me no foul play, friends.",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
51450,To lead him where he would: his roguish madness,lead,run.v.23,cause something to pass or lead somewhere
51503,"Bad is the trade that must play fool to sorrow,",play,play.n.08,activity by children that is guided more by imagination than by fixed rules
51511,Who I'll entreat to lead me.,lead,run.v.23,cause something to pass or lead somewhere
51513,"'Tis the times' plague, when madmen lead the blind.",lead,lead.n.02,a soft heavy toxic malleable metallic element; bluish white when freshly cut but tarnishes readily to dull grey
51550,Poor Tom shall lead thee.,lead,run.v.23,cause something to pass or lead somewhere
51762,That wants the means to lead it.,lead,lead.n.09,(baseball) the position taken by a base runner preparing to advance to the next base
51887,"Hast heavy substance, bleed'st not, speak'st, art sound.",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
51989,"a heavy case, your purse in a light, yet you see how",light,light.n.01,(physics) electromagnetic radiation that can produce a visual sensation
52057,Which can distinguish sound.,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
52075,I'll lead you to some biding.,lead,run.v.23,cause something to pass or lead somewhere
52208,Do scald like moulten lead.,lead,run.v.23,cause something to pass or lead somewhere
52321,"If you have victory, let the trumpet sound",sound,sound.n.01,the particular auditory effect produced by a given cause
52486,"Thou art arm'd, Gloucester: let the trumpet sound:",sound,sound.n.01,the particular auditory effect produced by a given cause
52512,"Come hither, herald,--Let the trumpet sound,",sound,sound.n.01,the particular auditory effect produced by a given cause
52514,"Sound, trumpet!",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
52519,"traitor, let him appear by the third sound of the",sound,sound.v.04,announce by means of a sound
52521,Sound!,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
52528,"Enter EDGAR, at the third sound, armed, with a trumpet before him",sound,fathom.v.02,measure the depth of (a body of water) with a sounding line
52870,"To seek the light of truth, while truth the while",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
52872,Light seeking light doth light of light beguile:,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
52873,"So, ere you find where light in darkness lies,",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
52874,Your light grows dark by losing of your eyes.,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
52878,And give him light that it was blinded by.,light,inner_light.n.01,a divine presence believed by Quakers to enlighten and guide the soul
53247,"And that's great marvel, loving a light wench.",light,light.n.01,(physics) electromagnetic radiation that can produce a visual sensation
53400,That aged ears play truant at his tales,play,play.n.08,activity by children that is guided more by imagination than by fixed rules
53530,"A woman sometimes, an you saw her in the light.",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
53531,Perchance light in the light. I desire her name.,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
53671,"As swift as lead, sir.",lead,leave.v.07,have as a result or residue
53674,"Is not lead a metal heavy, dull, and slow?",lead,lead.n.02,a soft heavy toxic malleable metallic element; bluish white when freshly cut but tarnishes readily to dull grey
53677,I say lead is slow.,lead,lead.n.05,the angle between the direction a gun is aimed and the position of a moving target (correcting for the flight time of the missile)
53679,Is that lead slow which is fired from a gun?,lead,lead.n.05,the angle between the direction a gun is aimed and the position of a moving target (correcting for the flight time of the missile)
53851,That we must stand and play the murderer in?,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
53938,And he from forage will incline to play:,play,maneuver.n.03,a deliberate coordinated movement requiring dexterity and skill
54204,"eye,--by this light, but for her eye, I would not",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
54228,"As doth thy face through tears of mine give light,",light,light.n.02,any device serving as a source of illumination
54278,"All hid, all hid, an old infant play.",play,play.v.03,play on an instrument
54376,"And Nestor play at push-pin with the boys,",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
54451,"She an attending star, scarce seen a light.",light,light.n.01,(physics) electromagnetic radiation that can produce a visual sensation
54477,"Devils soonest tempt, resembling spirits of light.",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
54489,"Dark needs no candles now, for dark is light.",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
54554,"A lover's ear will hear the lowest sound,",sound,sound.n.01,the particular auditory effect produced by a given cause
54604,"Light wenches may prove plagues to men forsworn,",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
54754,I will play three myself.,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
54765,"I'll make one in a dance, or so, or I will play",play,play.v.15,"put (a card or piece) into play during a game, or act strategically as if in a card game"
54786,"And so she died: had she been light, like you,",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
54789,"And so may you, for a light heart lives long.",light,inner_light.n.01,a divine presence believed by Quakers to enlighten and guide the soul
54790,"What's your dark meaning, mouse, of this light word?",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
54791,A light condition in a beauty dark.,light,light.n.06,a condition of spiritual awareness; divine illumination
54792,We need more light to find your meaning out.,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
54793,"You'll mar the light by taking it in snuff,",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
54796,"So do not you, for you are a light wench.",light,lighter.n.02,a device for lighting or igniting fuel or charges or fires
54797,"Indeed I weigh not you, and therefore light.",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
54932,Trumpets sound within,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
54992,"Play, music, then! Nay, you must do it soon.",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
55023,"Since you can cog, I'll play no more with you.",play,play.n.08,activity by children that is guided more by imagination than by fixed rules
55151,"To lead you to our court, vouchsafe it then.",lead,run.v.23,cause something to pass or lead somewhere
55184,By light we lose light: your capacity,light,light.a.06,characterized by or emitting light
55224,"My love to thee is sound, sans crack or flaw.",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
55448,"Ay, and in a brooch of lead.",lead,lead.n.04,a position of leadership (especially in the phrase `take the lead')
55460,"A light for Monsieur Judas! it grows dark, he may stumble.",light,lighter.n.02,a device for lighting or igniting fuel or charges or fires
55511,"Faith, unless you play the honest Troyan, the poor",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
55599,"Play'd foul play with our oaths: your beauty, ladies,",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
55714,"Our wooing doth not end like an old play,",play,play.v.03,play on an instrument
55719,That's too long for a play.,play,play.n.01,a dramatic work intended for performance by actors on a stage
55934,"Things that do sound so fair? I' the name of truth,",sound,sound.n.02,the subjective sensation of hearing something
56116,Let not light see my black and deep desires:,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
56148,"That wouldst thou holily, wouldst not play false,",play,play.n.08,activity by children that is guided more by imagination than by fixed rules
56262,"But here, upon this bank and shoal of time,",bank,bank.n.01,sloping land (especially the slope beside a body of water)
56360,"A heavy summons lies like lead upon me,",lead,lead.n.02,a soft heavy toxic malleable metallic element; bluish white when freshly cut but tarnishes readily to dull grey
56746,When living light should kiss it?,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
57015,"Which keeps me pale! Light thickens, and the crow",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
57036,"[Within]  Give us a light there, ho!",light,light.n.01,(physics) electromagnetic radiation that can produce a visual sensation
57044,"A light, a light!",light,light.n.01,(physics) electromagnetic radiation that can produce a visual sensation
57054,Who did strike out the light?,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
57067,And play the humble host.,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
57496,"I'll charm the air to give a sound,",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
57873,Which shall possess them with the heaviest sound,sound,fathom.v.02,measure the depth of (a body of water) with a sounding line
57908,"O, I could play the woman with mine eyes",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
57943,How came she by that light?,light,light.a.06,characterized by or emitting light
57944,"Why, it stood by her: she has light by her",light,light.a.06,characterized by or emitting light
58105,"And purge it to a sound and pristine health,",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
58181,"Told by an idiot, full of sound and fury,",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
58217,Lead our first battle: worthy Macduff and we,lead,lead.n.05,the angle between the direction a gun is aimed and the position of a moving target (correcting for the flight time of the missile)
58272,"Why should I play the Roman fool, and die",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
58404,"Not light them for themselves, for if our virtues",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
58448,Lead forth and bring you back in happiness!,lead,lead.n.01,an advantage held by a competitor in a race
58511,"art full of error, I am sound.",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
58512,"Nay, not as one would say, healthy, but so sound as",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
58643,"When she will play with reason and discourse,",play,maneuver.n.03,a deliberate coordinated movement requiring dexterity and skill
58752,Tongue far from heart--play with all virgins so:,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
59276,Let it not sound a thought upon your tongue,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
59358,"And try your penitence, if it be sound,",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
59414,"So play the foolish throngs with one that swoons,",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
60056,never bring them to light: would he were returned!,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
60074,the same kind! This would make mercy swear and play,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
60650,"With a light heart, trust not my holy order,",light,light.n.01,(physics) electromagnetic radiation that can produce a visual sensation
61011,"As there comes light from heaven and words from breath,",light,light.n.02,any device serving as a source of illumination
61071,"That's the way, for women are light at midnight.",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
61121,"I remember you, sir, by the sound of your voice: I",sound,sound.v.04,announce by means of a sound
61447,"A stage where every man must play a part,",play,act.v.03,play a role or part
61449,Let me play the fool:,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
61479,Thou shalt not know the sound of thine own tongue.,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
61589,"silver and lead, whereof who chooses his meaning",lead,lead.n.05,the angle between the direction a gun is aimed and the position of a moving target (correcting for the flight time of the missile)
61905,"Therefore, I pray you, lead me to the caskets",lead,lead.n.09,(baseball) the position taken by a base runner preparing to advance to the next base
61914,If Hercules and Lichas play at dice,play,play.v.15,"put (a card or piece) into play during a game, or act strategically as if in a card game"
62012,"to light, murder cannot be hid long, a man's son",light,light.n.01,(physics) electromagnetic radiation that can produce a visual sensation
62155,"pagan, most sweet Jew! if a Christian did not play",play,play.v.15,"put (a card or piece) into play during a game, or act strategically as if in a card game"
62254,Let not the sound of shallow foppery enter,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
62305,"When you shall please to play the thieves for wives,",play,gambling.n.01,the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
62325,"They in themselves, good-sooth, are too too light.",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
62331,"For the close night doth play the runaway,",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
62367,"This third, dull lead, with warning all as blunt,",lead,lead.n.02,a soft heavy toxic malleable metallic element; bluish white when freshly cut but tarnishes readily to dull grey
62376,Must give: for what? for lead? hazard for lead?,lead,lead.n.05,the angle between the direction a gun is aimed and the position of a moving target (correcting for the flight time of the missile)
62380,I'll then nor give nor hazard aught for lead.,lead,lead.n.05,the angle between the direction a gun is aimed and the position of a moving target (correcting for the flight time of the missile)
62408,Is't like that lead contains her? 'Twere damnation,lead,jumper_cable.n.01,a jumper that consists of a short piece of wire
62523,"To my heart's hope! Gold, silver, and base lead.",lead,lead.n.09,(baseball) the position taken by a base runner preparing to advance to the next base
62785,"Let music sound while he doth make his choice,",sound,sound.v.02,make a certain noise or sound
62848,"'Tween man and man: but thou, thou meagre lead,",lead,lead.n.02,a soft heavy toxic malleable metallic element; bluish white when freshly cut but tarnishes readily to dull grey
62961,We'll play with them the first boy for a thousand ducats.,play,gambling.n.01,the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
63260,How every fool can play upon the word! I think the,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
63294,"Why, if two gods should play some heavenly match",play,play.v.15,"put (a card or piece) into play during a game, or act strategically as if in a card game"
63351,"If you deny it, let the danger light",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
63561,"Hath been most sound: I charge you by the law,",sound,sound.n.01,the particular auditory effect produced by a given cause
63657,"As makes it light or heavy in the substance,",light,light.n.07,the visual effect of illumination on objects or scenes as created in pictures
63892,How sweet the moonlight sleeps upon this bank!,bank,bank.n.01,sloping land (especially the slope beside a body of water)
63915,"If they but hear perchance a trumpet sound,",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
63930,That light we see is burning in my hall.,light,light.n.01,(physics) electromagnetic radiation that can produce a visual sensation
63977,"Let me give light, but let me not be light,",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
63978,"For a light wife doth make a heavy husband,",light,lighter.n.02,a device for lighting or igniting fuel or charges or fires
64448,"Nay, pray you, lead the way.",lead,lead.n.04,a position of leadership (especially in the phrase `take the lead')
64753,"Or any kind of light,",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
64825,"his suit and lead him on with a fine-baited delay,",lead,lead.n.05,the angle between the direction a gun is aimed and the position of a moving target (correcting for the flight time of the missile)
64961,"to sound Falstaff. If I find her honest, I lose not",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
65489,"had you rather lead mine eyes, or eye your master's heels?",lead,run.v.23,cause something to pass or lead somewhere
66079,"No, Master Slender is let the boys leave to play.",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
66137,"preeches. Go your ways, and play, go.",play,maneuver.n.03,a deliberate coordinated movement requiring dexterity and skill
66252,"I hope not, I had as lief bear so much lead.",lead,leave.v.07,have as a result or residue
66438,Let the supposed fairies pinch him sound,sound,sound.n.01,the particular auditory effect produced by a given cause
66698,"see the light of our fairies. Remember, son Slender,",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
66707,"The night is dark, light and spirits will become it",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
66803,Sleep she as sound as careless infancy:,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
67146,"Making it momentany as a sound,",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
67267,"thought fit, through all Athens, to play in our",play,gambling.n.01,the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
67270,"First, good Peter Quince, say what the play treats",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
67273,"Marry, our play is, The most lamentable comedy, and",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
67287,"tyrant: I could play Ercles rarely, or a part to",play,act.v.03,play a role or part
67305,"Nay, faith, let me not play a woman, I have a beard coming.",play,play.v.02,act or have an effect in a specified way or with a specific effect or outcome
67306,"That's all one: you shall play it in a mask, and",play,play.v.15,"put (a card or piece) into play during a game, or act strategically as if in a card game"
67308,"An I may hide my face, let me play Thisby too, I'll",play,play.v.03,play on an instrument
67312,"No, no, you must play Pyramus: and, Flute, you Thisby.",play,maneuver.n.03,a deliberate coordinated movement requiring dexterity and skill
67316,"Robin Starveling, you must play Thisby's mother.",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
67321,"hope, here is a play fitted.",play,play.n.05,a state in which action is feasible
67325,"Let me play the lion too: I will roar, that I will",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
67339,"You can play no part but Pyramus, for Pyramus is a",play,act.v.03,play a role or part
67342,therefore you must needs play Pyramus.,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
67344,to play it in?,play,gambling.n.01,the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
67351,"then you will play bare-faced. But, masters, here",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
67358,"will draw a bill of properties, such as our play",play,play.v.15,"put (a card or piece) into play during a game, or act strategically as if in a card game"
67446,Didst thou not lead him through the glimmering night,lead,lead.n.04,a position of leadership (especially in the phrase `take the lead')
67628,"I know a bank where the wild thyme blows,",bank,bank.n.01,sloping land (especially the slope beside a body of water)
